Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1929	1,8596	0,11089	-6,8001e-002	
1930	1,8099	0,11171	-6,8001e-002	
1931	1,7602	0,11252	-6,8001e-002	
1932	1,7105	0,11334	-6,8001e-002	
1933	1,6608	0,11416	-6,8001e-002	
1934	1,6111	0,11497	-6,8001e-002	
1935	1,5614	0,11579	-6,8001e-002	
1936	1,5118	0,1166	-6,8001e-002	
1937	1,4621	0,11742	-6,8001e-002	
1938	1,4124	0,11824	-6,8001e-002	
1939	1,3627	0,11905	-6,8001e-002	
1940	1,0148	0,12477	-6,8001e-002	
1941	0,96512	0,12558	-6,8001e-002	
1942	0,91543	0,1264	-6,8001e-002	
1943	0,86573	0,12722	-6,8001e-002	
1944	0,81604	0,12803	-6,8001e-002	
1945	0,76635	0,12885	-6,8001e-002	
1946	0,71665	0,12967	-6,8001e-002	
1947	0,66696	0,13048	-6,8001e-002	
1948	0,61726	0,1313	-6,8001e-002	
1949	0,56757	0,13211	-6,8001e-002	
1950	0,51788	0,13293	-6,8001e-002	
1951	0,46818	0,13375	-6,8001e-002	
1952	0,41849	0,13456	-6,8001e-002	
1953	0,36879	0,13538	-6,8001e-002	
1954	0,3191	0,1362	-6,8001e-002	
1955	0,26941	0,13701	-6,8001e-002	
1956	0,21971	0,13783	-6,8001e-002	
1957	0,20729	0,13803	-6,8001e-002	
2007	0,19403	0,13825	-1,7e-002	
2008	0,19459	0,13824	-5,1001e-002	
2009	0,19473	0,13824	-5,9501e-002	
2010	2,4861	-7,1216e-003	-6,8001e-002	
2011	2,4368	-7,931e-003	-6,8001e-002	
2012	2,3875	-8,7404e-003	-6,8001e-002	
2013	2,3383	-9,5498e-003	-6,8001e-002	
2014	2,289	-1,0359e-002	-6,8001e-002	
2015	2,2397	-1,1169e-002	-6,8001e-002	
2016	2,1904	-1,1978e-002	-6,8001e-002	
2017	2,1412	-1,2788e-002	-6,8001e-002	
2018	2,0919	-1,3597e-002	-6,8001e-002	
2019	2,0426	-1,4406e-002	-6,8001e-002	
2020	1,9934	-1,5216e-002	-6,8001e-002	
2021	1,9441	-1,6025e-002	-6,8001e-002	
2022	1,8948	-1,6835e-002	-6,8001e-002	
2023	1,8455	-1,7644e-002	-6,8001e-002	
2024	1,7963	-1,8454e-002	-6,8001e-002	
2025	1,747	-1,9263e-002	-6,8001e-002	
2026	1,6977	-2,0072e-002	-6,8001e-002	
2027	1,6484	-2,0882e-002	-6,8001e-002	
2028	1,5992	-2,1691e-002	-6,8001e-002	
2029	1,5499	-2,2501e-002	-6,8001e-002	
2030	1,5006	-2,331e-002	-6,8001e-002	
2031	1,4513	-2,4119e-002	-6,8001e-002	
2032	1,4021	-2,4929e-002	-6,8001e-002	
2033	1,3528	-2,5738e-002	-6,8001e-002	
2034	1,3035	-2,6548e-002	-6,8001e-002	
2035	1,2542	-2,7357e-002	-6,8001e-002	
2036	1,205	-2,8167e-002	-6,8001e-002	
2037	1,1557	-2,8976e-002	-6,8001e-002	
2038	1,1064	-2,9785e-002	-6,8001e-002	
2039	1,0572	-3,0595e-002	-6,8001e-002	
2040	1,0079	-3,1404e-002	-6,8001e-002	
2041	0,95861	-3,2214e-002	-6,8001e-002	
2042	0,90933	-3,3023e-002	-6,8001e-002	
2043	0,86006	-3,3833e-002	-6,8001e-002	
2044	0,81079	-3,4642e-002	-6,8001e-002	
2045	0,76151	-3,5451e-002	-6,8001e-002	
2046	0,71224	-3,6261e-002	-6,8001e-002	
2047	0,66297	-3,707e-002	-6,8001e-002	
2048	0,61369	-3,788e-002	-6,8001e-002	
2049	0,56442	-3,8689e-002	-6,8001e-002	
